"","Symbol","Name"
"402","BNTC","Benitec Biopharma Limited"
"403","BNTCW","Benitec Biopharma Limited"
"404","BRY","Berry Petroleum Corporation"
"405","BYND","Beyond Meat, Inc."
"406","BYSI","BeyondSpring, Inc."
"407","BGCP","BGC Partners, Inc."
"408","BGFV","Big 5 Sporting Goods Corporation"
"409","BRPA","Big Rock Partners Acquisition Corp."
"410","BRPAR","Big Rock Partners Acquisition Corp."
"411","BRPAU","Big Rock Partners Acquisition Corp."
"412","BRPAW","Big Rock Partners Acquisition Corp."
"413","BILI","Bilibili Inc."
"414","BASI","Bioanalytical Systems, Inc."
"415","BIOC","Biocept, Inc."
"416","BCRX","BioCryst Pharmaceuticals, Inc."
"417","BDSI","BioDelivery Sciences International, Inc."
"418","BFRA","Biofrontera AG"
"419","BIIB","Biogen Inc."
"420","BHTG","BioHiTech Global, Inc."
"421","BKYI","BIO-key International, Inc."
"422","BIOL","Biolase, Inc."
"423","BLFS","BioLife Solutions, Inc."
"424","BLRX","BioLineRx Ltd."
"425","BMRN","BioMarin Pharmaceutical Inc."
"426","BMRA","Biomerica, Inc."
"427","BNGO","Bionano Genomics, Inc."
"428","BNGOW","Bionano Genomics, Inc."
"429","BVXV","BiondVax Pharmaceuticals Ltd."
"430","BVXVW","BiondVax Pharmaceuticals Ltd."
"431","BPTH","Bio-Path Holdings, Inc."
"432","BIOS","BioScrip, Inc."
"433","BSGM","BioSig Technologies, Inc."
"434","BSTC","BioSpecifics Technologies Corp"
"435","TECH","Bio-Techne Corp"
"436","BEAT","BioTelemetry, Inc."
"437","BTAI","BioXcel Therapeutics, Inc."
"438","BIQI","BIQI International Holdings Corporation"
"439","BJRI","BJ&#39;s Restaurants, Inc."
"440","BRAC","Black Ridge Acquisition Corp."
"441","BRACR","Black Ridge Acquisition Corp."
"442","BRACU","Black Ridge Acquisition Corp."
"443","BRACW","Black Ridge Acquisition Corp."
"444","BLKB","Blackbaud, Inc."
"445","BL","BlackLine, Inc."
"446","BKCC","BlackRock Capital Investment Corporation"
"447","TCPC","BlackRock TCP Capital Corp."
"448","BLNK","Blink Charging Co."
"449","BLNKW","Blink Charging Co."
"450","BLMN","Bloomin&#39; Brands, Inc."
"451","BCOR","Blucora, Inc."
"452","BLBD","Blue Bird Corporation"
"453","BLUE","bluebird bio, Inc."
"454","BKEP","Blueknight Energy Partners L.P., L.L.C."
"455","BKEPP","Blueknight Energy Partners L.P., L.L.C."
"456","BPMC","Blueprint Medicines Corporation"
"457","ITEQ","BlueStar Israel Technology ETF"
"458","BMCH","BMC Stock Holdings, Inc."
"459","WIFI","Boingo Wireless, Inc."
"460","BOKF","BOK Financial Corporation"
"461","BOKFL","BOK Financial Corporation"
"462","BNSO","Bonso Electronics International, Inc."
"463","BKNG","Booking Holdings Inc."
"464","BRQS","Borqs Technologies, Inc. "
"465","BOMN","Boston Omaha Corporation"
"466","BPFH","Boston Private Financial Holdings, Inc."
"467","EPAY","Bottomline Technologies, Inc."
"468","BOXL","Boxlight Corporation"
"469","BWMC","Boxwood Merger Corp."
