"","ticker","finance_site","website","description","keywords"
"877","SGC","https://finance.yahoo.com/quote/SGC","http://superiorgroupofcompanies.com",NA,NA
"878","SUPN","https://finance.yahoo.com/quote/SUPN","http://www.supernus.com",NA,NA
"879","SPRT","https://finance.yahoo.com/quote/SPRT","http://www.support.com","Sunnyvale",NA
"880","SURF","https://finance.yahoo.com/quote/SURF","http://www.surfaceoncology.com","Surface Oncology is developing next generation immunotherapies that target the immune-suppressive tumor microenvironment to attack cancer.",NA
"881","SGRY","https://finance.yahoo.com/quote/SGRY","http://www.surgerypartners.com","Surgery Partners, a leading operator of surgical facilities and ancillary services, provides healthcare experiences between providers and patients.",NA
"882","SRDX","https://finance.yahoo.com/quote/SRDX","http://www.surmodics.com",NA,NA
"883","STRO","https://finance.yahoo.com/quote/STRO","http://www.sutrobio.com",NA,NA
"884","SIVB","https://finance.yahoo.com/quote/SIVB","http://www.svb.com","The bank that helps you build your business at every stage. See how SVB makes next happen now for entrepreneurs like you.",NA
"885","SVMK","https://finance.yahoo.com/quote/SVMK","http://www.surveymonkey.com","Use SurveyMonkey to drive your business forward by using our free online survey tool to capture the voices and opinions of the people who matter most to you.","questionnaire, questionnaires, questionaire, questionaires, free online survey, free online surveys"
"886","SYKE","https://finance.yahoo.com/quote/SYKE","http://www.sykes.com","We create intelligent customer experiences for brands across the globe through our digital marketing, sales expertise, customer service and technical support (BPO) solutions.",NA
"887","SYMC","https://finance.yahoo.com/quote/SYMC","http://www.symantec.com","Symantec provides security products and solutions to protect small, medium, and enterprise businesses from advanced threats, malware, and other cyber attacks.",NA
"888","SYNC","https://finance.yahoo.com/quote/SYNC","http://www.synacor.com",NA,NA
"889","SYNL","https://finance.yahoo.com/quote/SYNL","http://www.synalloy.com","",NA
"890","SYNL","https://finance.yahoo.com/quote/SYNL","http://www.synalloy.com","Synalloy Corporation is structured as a holding company and is headquartered in Richmond, Virginia.",NA
"891","SYNA","https://finance.yahoo.com/quote/SYNA","http://www.synaptics.com","Touch Controllers, Display Drivers, Fingerprint Sensors - Human computer interface (HMI or HCI) semiconductors and software for smartphones, tablets, notebooks, auto, wearables, and more.",NA
"892","SNCR","https://finance.yahoo.com/quote/SNCR","http://www.synchronoss.com",NA,NA
"893","SNDX","https://finance.yahoo.com/quote/SNDX","http://www.syndax.com",NA,NA
"894","SYNH","https://finance.yahoo.com/quote/SYNH","http://www.syneoshealth.com","Syneos Health is the only fully integrated biopharmaceutical solutions organization. Our company, including a Contract Research Organization (CRO) and Contract Commercial Organization (CCO), is purpose-built to accelerate customer performance to address modern market realities. Created through the merger of two industry-leading companies – INC Research and inVentiv Health – we",NA
