,cik-year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10
13776,779544-2015,4.499179281967874,4.263854175715988,3.9580298662913362,4.28731082662267,4.16166836690243,5.064092190383397,4.3981015559671635,5.028012306923501,4.6954436546917835,4.695176058114742
13777,779544-2016,4.510845048808188,4.2492441572327255,3.95165950713993,4.290846503497294,4.147733180724547,5.042391646533396,4.394554488113573,5.016965850283288,4.69585568618985,4.672724573786677
13778,779544-2017,4.542796559280163,4.282079048213071,3.9820286903445283,4.317183116426933,4.180799070374532,5.108914024872503,4.406050650434249,5.042476708102104,4.70983026667096,4.687434160058681
13779,779544-2018,4.90515669651147,4.734234062578776,4.557599367634563,4.81820044608725,4.802460489511438,5.572073724937748,4.999572226783176,5.283001730927907,5.11720060638673,5.031749246873006
13780,780571-2008,4.821269448633307,4.712157396956805,4.604683904467629,4.799888297552723,4.592006759433292,3.5394679706348073,4.7178412333791595,5.216488358825202,4.999863340102615,4.8527547004830245
13781,780571-2009,3.6187858245788496,3.585168825198119,3.1201776629866504,3.360767253928706,3.0442938361287486,4.631457572743244,3.5963853737788454,4.351784038195365,3.8408437890846994,3.9490315919812997
13782,780571-2010,3.8585109628571166,3.750604571041794,3.3319813399469616,3.5891708864580414,3.2801711604935133,4.763742461833569,3.7209185315112436,4.516967246953245,4.0103248761684505,4.0936006279207025
13783,780571-2011,3.8337956525733166,3.7271113656598533,3.3169639944945204,3.558929060608902,3.2496958508910776,4.813661091259841,3.7017071796214753,4.45100940080898,3.9396553935225986,4.065293538483887
13784,780571-2012,4.023481898686264,3.923172528964868,3.511338297359767,3.7400629353170407,3.424007056473235,4.940207052419589,3.868400055710318,4.606768356318549,4.114003636818833,4.285076274208284
13785,780571-2013,4.0631776958492125,3.9582193566917376,3.5432625163176814,3.780750428130431,3.4564889390845903,4.985643462772069,3.9010359239578536,4.636910942863243,4.144820696525836,4.300607173524237
13786,780571-2014,4.0895584670938865,4.01332749162907,3.5967342924956176,3.842938340771215,3.5130825434799213,5.011151636434903,3.9701349206784067,4.688970297690964,4.1944208353597014,4.365180966602982
13787,780571-2015,4.30272446469109,4.242222764707759,3.83020826255922,4.043213485238122,3.7628365557806736,5.233500781113905,4.168250871571456,4.880922783875705,4.421019189828427,4.543790459405215
13788,780571-2016,4.348733919763466,4.28268131769289,3.8875404469775177,4.094368490800168,3.806368934046876,5.258178845282475,4.214195893145757,4.9230932769633835,4.456674331236845,4.588597469877548
13789,780571-2017,4.135885720626771,4.050988189775471,3.6451713810392596,3.865772628637353,3.577474654384187,5.0773378509890765,3.9990543227775683,4.708472214895814,4.239332911444998,4.379804480276177
13790,780571-2018,4.090416195095988,4.009665784163761,3.623058114736598,3.8642650622855212,3.515708190543025,5.012924728576899,3.992868071570857,4.663330646518989,4.224273811621127,4.3290327003031255
13791,783005-2008,4.264287047483274,4.187289039877109,3.9486133990452754,4.055242245587748,3.879742637974104,5.150496143416946,4.17223961522933,4.909107043851318,4.44407046038655,4.498286396573818
13792,783005-2009,4.333652499287771,4.2824680632692305,4.041619624633193,4.137896822718945,3.9737013551832394,5.251073841775081,4.225743456020167,5.0300136001756615,4.5015496092525185,4.574780464274048
13793,783005-2010,4.63570429246514,4.5351711188748975,4.307877834644942,4.420285786574211,4.2418998848830505,5.462936613012215,4.490481012377744,5.228174490053581,4.735273378862636,4.797223490254026
13794,783005-2011,4.605429110289595,4.36896812317555,4.210559352495333,4.394534354558257,4.20098394234629,5.448933484948995,4.4135689389405846,5.084116638117234,4.728498759824364,4.688004001344222
13795,783005-2012,4.670204579604683,4.424552348075691,4.2948641986830935,4.424347348421394,4.298846673625835,5.578573776664314,4.488561643067238,5.132343564641269,4.775491706850387,4.737070634790559
13796,783005-2013,4.9117416403841405,4.64282857464205,4.537764975308388,4.658401920467506,4.516893860679383,5.698557953346692,4.711671478364505,5.310220312094707,5.03417693864152,5.010437942497587
13797,783005-2014,4.870330541179941,4.722184330629272,4.560026056767946,4.652047251920488,4.486322728510855,5.7102523421749405,4.737763683932306,5.4406884721862125,5.005472136688277,5.042274509368647
13798,783005-2015,4.75459666922974,4.638404884800694,4.4412747602823055,4.514511727394284,4.362188591865801,5.6110818934783575,4.649267263825998,5.360826955911801,4.922508511881229,4.975707876153899
13799,783005-2016,4.947920831411431,4.832303914489768,4.643030137717494,4.715747107127829,4.561880254340308,5.772136885153601,4.83773927881557,5.5078777699972665,5.083921526869481,5.147282623640795
13800,783005-2017,4.78354896720764,4.667275167914563,4.46458031088693,4.54922852796937,4.3641003503466695,5.6522428913452,4.684217653874146,5.357568073669551,4.935822465227389,5.018411577099807
13801,783005-2018,4.919598002701379,4.7852816960994975,4.5877442487602265,4.68124755276385,4.490384992893327,5.740166640706143,4.802449745917932,5.452889164646532,5.0841365082033025,5.162222036044359
13802,783412-2008,4.932271625645642,4.873549758960204,4.554380653185881,4.649497649517717,4.581721073389132,5.530674685890049,4.828211268059121,5.352971965453341,5.13673618995365,5.0180422275501
13803,783412-2009,5.149327776786256,5.048041779136507,4.76952142181785,4.864355161098683,4.794138140181721,5.720636820142606,5.027148691059302,5.501743883503327,5.290695686523724,5.2014372084459986
13804,783412-2010,5.569893418415449,5.49231547339304,5.229642241979814,5.304414047102102,5.247725840033522,6.117374208262201,5.473981304762717,5.898969000996155,5.694990759717613,5.6005664086106375
13805,783412-2011,5.836227232397803,5.7378851441792005,5.502599073816612,5.553338314876909,5.50922541510054,6.360354312420987,5.720872840596082,6.141606636745288,5.9407484804045065,5.890526455735559
13806,783412-2012,5.480174392755351,5.395117758333182,5.124483560548677,5.209281435099058,5.153262162426965,6.062365250159153,5.361287472397056,5.812848623501235,5.608734015638029,5.5250217068701835
13807,783412-2014,5.962771880201788,5.868583025534208,5.635070116142849,5.685885410861216,5.622115786130307,6.443612693689146,5.829750458278198,6.226284956847681,6.030206806835285,5.997032468580326
13808,783412-2015,4.937394037410528,4.832621806167265,4.547899829255041,4.627228964375315,4.527230473571425,5.505071534498421,4.7753581050596985,5.231328061021194,5.04726084487178,5.008608964420375
13809,783412-2015,4.993832156278063,4.90419096714116,4.615270729048158,4.689513367105296,4.57958169386952,5.589025056938302,4.843885682414716,5.294000095884407,5.08805460233658,5.0605885786141815
