Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CIK
DTYS,Barclays PLC,16.57,$35.93M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dtys,
DUSA,Davis Select U.S. Equity ETF,22.92,$186.8M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dusa,879993
DVAX,Dynavax Technologies Corporation,6.99,$454.82M,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dvax,1029142
DVCR,Diversicare Healthcare Services Inc.,3.74,$24.99M,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/dvcr,919956
DVLU,First Trust Dorsey Wright Momentum & Value ETF,17.9204,$17.92M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dvlu,
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,20.8237,$32.28M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dvol,
DVY,iShares Select Dividend ETF,97.44,$16.97B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dvy,
DWAQ,Invesco DWA NASDAQ Momentum ETF,107.57,$43.03M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwaq,
DWAS,Invesco DWA SmallCap Momentum ETF,50.04,$242.69M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwas,
DWAT,Arrow DWA Tactical ETF,11.045,$5.52M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwat,
DWCR,Arrow DWA Country Rotation ETF,25.52,$15.31M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwcr,
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,23.1599,$106.54M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwfi,
DWIN,Invesco DWA Tactical Multi-Asset Income ETF,24.9797,$36.22M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwin,
DWLD,Davis Select Worldwide ETF,22.89,$219.74M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwld,
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,21.9,$3.29M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc,
DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,29.5249,$44.29M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwpp,
DWSH,AdvisorShares Dorsey Wright Short ETF,25.3716,$15.22M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh,
DWSN,Dawson Geophysical Company,2.25,$52.13M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dwsn,799165
DWTR,Invesco DWA Tactical Sector Rotation ETF,29.02,$62.39M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwtr,
DXCM,"DexCom, Inc.",116.25,$10.58B,2005,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dxcm,1093557
DXGE,WisdomTree Germany Hedged Equity Fund,29.06,$50.86M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dxge,
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,37.1,$74.2M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dxjs,
